"","Date","n"
"1",2020-05-26 12:24:00,57
"2",2020-05-26 12:25:00,426
"3",2020-05-26 12:26:00,395
"4",2020-05-26 12:27:00,400
"5",2020-05-26 12:28:00,404
"6",2020-05-26 12:29:00,410
"7",2020-05-26 12:30:00,406
"8",2020-05-26 12:31:00,313
"9",2020-05-26 12:32:00,373
"10",2020-05-26 12:33:00,397
"11",2020-05-26 12:34:00,415
"12",2020-05-26 12:35:00,374
"13",2020-05-26 12:36:00,378
"14",2020-05-26 12:37:00,350
"15",2020-05-26 12:38:00,384
"16",2020-05-26 12:39:00,401
"17",2020-05-26 12:40:00,365
"18",2020-05-26 12:41:00,398
"19",2020-05-26 12:42:00,365
"20",2020-05-26 12:43:00,337
"21",2020-05-26 12:44:00,322
"22",2020-05-26 12:45:00,363
"23",2020-05-26 12:46:00,390
"24",2020-05-26 12:47:00,378
"25",2020-05-26 12:48:00,371
"26",2020-05-26 12:49:00,373
"27",2020-05-26 12:50:00,366
"28",2020-05-26 12:51:00,368
"29",2020-05-26 12:52:00,374
"30",2020-05-26 12:53:00,355
"31",2020-05-26 12:54:00,373
"32",2020-05-26 12:55:00,345
"33",2020-05-26 12:56:00,370
"34",2020-05-26 12:57:00,325
"35",2020-05-26 12:58:00,323
"36",2020-05-26 12:59:00,333
"37",2020-05-26 13:00:00,363
"38",2020-05-26 13:01:00,348
"39",2020-05-26 13:02:00,407
"40",2020-05-26 13:03:00,338
"41",2020-05-26 13:04:00,353
"42",2020-05-26 13:05:00,390
"43",2020-05-26 13:06:00,334
"44",2020-05-26 13:07:00,341
"45",2020-05-26 13:08:00,359
"46",2020-05-26 13:09:00,354
"47",2020-05-26 13:10:00,341
"48",2020-05-26 13:11:00,356
"49",2020-05-26 13:12:00,363
"50",2020-05-26 13:13:00,293
"51",2020-05-26 13:14:00,90
"52",2020-05-26 14:17:00,75
"53",2020-05-26 14:18:00,406
"54",2020-05-26 14:19:00,386
"55",2020-05-26 14:20:00,407
"56",2020-05-26 14:21:00,401
"57",2020-05-26 14:22:00,355
"58",2020-05-26 14:23:00,376
"59",2020-05-26 14:24:00,370
"60",2020-05-26 14:25:00,393
"61",2020-05-26 14:26:00,403
"62",2020-05-26 14:27:00,448
"63",2020-05-26 14:28:00,405
"64",2020-05-26 14:29:00,433
"65",2020-05-26 14:30:00,440
"66",2020-05-26 14:31:00,444
"67",2020-05-26 14:32:00,451
"68",2020-05-26 14:33:00,378
"69",2020-05-26 14:34:00,386
"70",2020-05-26 14:35:00,384
"71",2020-05-26 14:36:00,408
"72",2020-05-26 14:37:00,425
"73",2020-05-26 14:38:00,392
"74",2020-05-26 14:39:00,369
"75",2020-05-26 14:40:00,399
"76",2020-05-26 14:41:00,404
"77",2020-05-26 14:42:00,399
"78",2020-05-26 14:43:00,396
"79",2020-05-26 14:44:00,426
"80",2020-05-26 14:45:00,445
"81",2020-05-26 14:46:00,420
"82",2020-05-26 14:47:00,408
"83",2020-05-26 14:48:00,433
"84",2020-05-26 14:49:00,397
"85",2020-05-26 14:50:00,380
"86",2020-05-26 14:51:00,378
"87",2020-05-26 14:52:00,408
"88",2020-05-26 14:53:00,418
"89",2020-05-26 14:54:00,422
"90",2020-05-26 14:55:00,5
"91",2020-05-26 15:01:00,259
"92",2020-05-26 15:02:00,399
"93",2020-05-26 15:03:00,395
"94",2020-05-26 15:04:00,428
"95",2020-05-26 15:05:00,280
"96",2020-05-26 15:06:00,297
"97",2020-05-26 15:07:00,353
"98",2020-05-26 15:08:00,375
"99",2020-05-26 15:09:00,378
"100",2020-05-26 15:10:00,413
"101",2020-05-26 15:11:00,388
"102",2020-05-26 15:12:00,424
"103",2020-05-26 15:13:00,423
"104",2020-05-26 15:14:00,419
"105",2020-05-26 15:15:00,383
"106",2020-05-26 15:16:00,400
"107",2020-05-26 15:17:00,390
"108",2020-05-26 15:18:00,381
"109",2020-05-26 15:19:00,329
"110",2020-05-26 15:20:00,347
"111",2020-05-26 15:21:00,385
"112",2020-05-26 15:22:00,378
"113",2020-05-26 15:23:00,335
"114",2020-05-26 15:24:00,395
"115",2020-05-26 15:25:00,425
"116",2020-05-26 15:26:00,368
"117",2020-05-26 15:27:00,386
"118",2020-05-26 15:28:00,348
"119",2020-05-26 15:29:00,373
"120",2020-05-26 15:30:00,419
